walk_direction,commanded_step_length_m,commanded_step_height_m,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
-1.0,0.3,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,600,353,370,2.833333333333332,27,10,0.007632078602910042,159,0.99375,0.9085714285714286,1.0103461144525425,4.762087430750022,1.2323250464182098,4.783962596743562,0.22197893196566743,-0.21970583029949786,0.1320754716981132,0.4968553459119497
-1.0,0.3,0.02,active,true_hard_mask,600,379,363,-2.6666666666666727,15,31,0.02589608179323477,159,0.888268156424581,0.9578313253012049,1.04519890717525,2.6269663889328827,1.0082863081504638,1.3399288862342609,-0.03691259902478629,0.03531633909238008,0.36477987421383645,0.0
-1.0,0.35,0.0,active,proposed_phase_aware_three_expert,600,371,367,-0.6666666666666599,11,15,0.557197093963623,172,0.9398907103825137,0.9555555555555556,1.3496526662429407,2.3319574750120924,0.8037010085569481,1.331770287729772,-0.5459516576859924,0.404512710078046,0.3430232558139535,0.5872093023255814
-1.0,0.35,0.0,true_hard_mask,proposed_phase_aware_three_expert,600,371,367,-0.6666666666666599,15,19,0.6075913612730801,166,0.9485714285714286,0.9222222222222223,1.4839721628781368,1.8242419575446531,0.7455528233766301,1.2755186400462066,-0.7384193395015071,0.4975964899970603,0.8132530120481928,0.006024096385542169
-1.0,0.35,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,600,360,367,1.1666666666666714,15,8,0.21003961563110352,168,0.9882352941176471,0.9333333333333333,0.538004802514524,1.29109246316708,0.8092853173693799,1.3504945909314197,0.2712805148548559,-0.5042343740928454,0.06547619047619048,0.42857142857142855
-1.0,0.35,0.0,active,true_hard_mask,600,371,371,0.0,15,15,1.0,165,0.9016393442622951,0.9428571428571428,1.3172966452593544,2.3730093133145127,1.4721838703345822,1.8263074100520784,0.15488722507522776,-0.1175796094468402,0.3393939393939394,0.006060606060606061
-1.0,0.35,0.01,active,proposed_phase_aware_three_expert,600,362,362,0.0,5,5,1.0,170,0.9826589595375722,0.9941520467836257,1.2246884613043245,2.257873961466606,0.89470657957833,2.0571272705766415,-0.3299818817259945,0.2694414883067938,0.31176470588235294,0.5823529411764706
-1.0,0.35,0.01,true_hard_mask,proposed_phase_aware_three_expert,600,346,362,2.6666666666666727,26,10,0.011330984183587134,154,0.9625,0.9005847953216374,1.1711714497537324,1.331492761138773,0.7110786551465922,1.517740455254382,-0.4600927946071403,0.3928483696421101,0.8051948051948052,0.0
-1.0,0.35,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,600,352,362,1.6666666666666718,13,3,0.021270751953125,162,0.9938650306748467,0.9473684210526315,0.5400625128885834,1.7126211020234698,0.8115995535369452,1.731529649406934,0.2715370406483619,-0.5027881664957936,0.15432098765432098,0.4382716049382716
-1.0,0.35,0.01,active,true_hard_mask,600,362,346,-2.6666666666666727,8,24,0.0070003666914999485,155,0.8959537572254336,0.96875,1.02054200478773,1.714092264854014,1.2066935218766714,1.3989076238367115,0.18615151708894156,-0.1824045617090111,0.3161290322580645,0.0
